id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Mirage,Arid Sun,world,exotic,0.67,105,0.72,0.65,0.55
12,Pixel Parade,Bitwise,chipstep,playful,0.88,140,0.90,0.80,0.12
13,Winter Solitude,Silent Pines,classical,melancholic,0.30,60,0.40,0.35,0.95
14,Electric Pulse,Wireframe,edm,energetic,0.95,128,0.85,0.92,0.08
15,Golden Hour,Amber Lane,country,nostalgic,0.60,100,0.78,0.70,0.40
16,Deep Blue,Oceanic,blues,somber,0.45,85,0.50,0.48,0.80
17,Firefly Nights,Glow Theory,folk,hopeful,0.55,98,0.82,0.67,0.60
18,Urban Canvas,Street Poet,hip hop,confident,0.80,110,0.75,0.85,0.20
19,Starlit Waltz,Midnight Ensemble,waltz,romantic,0.50,90,0.88,0.40,0.70
20,Glacier Run,Ice Circuit,drum & bass,thrilling,0.92,160,0.65,0.78,0.15